"year","price"
"Jun
2009","1275.9"
"Jul
2009","829.9"
"Jul
2009","794.9"
"Jul
2009","3164"
"Jul
2009","792.4"
"Aug
2009","1915.5"
"Aug
2009","1788.3"
"Aug
2009","487.95"
"Sep
2009","655.3"
"Sep
2009","658"
"Sep
2009","489.65"
"Oct
2009","674"
"Oct
2009","649.93"
"Oct
2009","674"
"Oct
2009","1387"
"Nov
2009","609.53"
"Nov
2009","722.53"
"Nov
2009","776.3"
"Dec
2009","785.3"
"Dec
2009","930.3"
"Dec
2009","4137.25"
"Dec
2009","2768"
"Jan
2010","1759.1"
"Jan
2010","947.1"
"Feb
2010","3386"
