"year","price"
"Nov
2017","316.05"
"Nov
2017","405.61"
"Nov
2017","420.75"
"Dec
2017","542.91"
"Jan
2018","437.87"
"Jan
2018","343.41"
"Feb
2018","385.94"
"Feb
2018","322.62"
"Apr
2018","671.88"
"Apr
2018","416.29"
"Apr
2018","496"
"May
2018","436.02"
"Jul
2018","463.95"
"Sep
2018","384.95"
"Sep
2018","454.95"
"Sep
2018","359.95"
